building_code,building_name,building_address,lat,lon
NLC,Norman Lear Center,8383 Wilshire Blvd. #652,34.06468241733724,-118.37378155010973
NML,Norris Medical Library,2003 Zonal Ave.,34.060354260273975,-118.20649198630137
NOR,Kenneth Norris Jr. Cancer Hospital Research Institute,1441 Eastlake Ave.,34.06143675,-118.20541166805805
NRT,Harlyne J. Norris Research Tower,1450 Biggy St.,34.061867303030304,-118.20554387878788
NTT,Dr. Norman Topping Tower,1441 Eastlake Ave.,34.06143675,-118.20541166805805
OHE,Olin Hall of Engineering,3650 McClintock Ave.,34.020692499999996,-118.28950445076168
ONE,One Institute,909 W. Adams Blvd.,34.031033,-118.28155684933787
OSP,Our Savior Parish and USC Caruso Catholic Center,844 W. 32nd St.,34.02508455,-118.28344415121863
PAM,Pacific Asia Museum,46 N. Los Robles Ave. Pasadena,34.1467474,-118.1410383
PCA,Pacific Apts.,2637 Severance St.,34.02991290909091,-118.28124781818181
PCE,Petroleum and Chemical Engineering Bldg.,923 Bloom Walk,34.02027524489796,-118.28954273469388
PED,Physical Education Bldg.,3560 Watt Way,34.02158095918367,-118.28692053061225
PHE,Powell Hall,3737 Watt Way,34.01891262783437,-118.2889466198084
PHH,Phinney Hall,1721 Griffin Ave.,34.06368030832006,-118.21156362450824
PKS,Parkside Apts.,3730 S. McClintock Ave.,42.816427,-70.893133
PRB,Parkside Residential Building,920 West 37th Place,34.01987154054054,-118.29191797297297
PSA,Downey Way Structure,Lot 33 3667 McClintock Ave.,null,null
PSB,Jefferson Boulevard Structure,Lot 1 1150 Jefferson Blvd.,null,null
PSC,John Stauffer Pharmaceutical Sciences Ctr.,1985 Zonal Ave.,34.06046324657534,-118.20673967123287
PSD,Royal Street Structure,649 W. 34th St.,33.71326719354839,-118.2913355483871
PSO,Flower Street Structure,3701 S. Flower St.,34.01776,-118.281225
PSX,McCarthy Way Structure,620 W. McCarthy Way,null,null
PTD,Pardee Tower,614 Hellman Way,34.02002075,-118.28263318984202
PVB,Playa Vista Bldg.,12015 E. Waterfront Dr. Playa Vista,null,null
PVT,Playa Vista Bldg. Two,12025 Waterfront Dr. Playa Vista,33.98282191147892,-118.40407852735804
RAN,Hoffman Contracts Research Bldg.,3716 S. Hope St.,34.016712612244895,-118.27947410204081
RGA,Regent Apts.,1138 W. 29th St.,34.0281356,-118.28505895
RGL,Ralph and Goldy Lewis Hall,650 Childs Way,34.01926105,-118.28354449358193
RHM,Ramo Hall of Music,830 W. 34th St.,34.022635,-118.285212
RRB,Rapp Engineering Research Bldg.,854 Downey Way,34.020015900000004,-118.28752414024123
RRI,Ray R. Irani Hall,1050 Childs Way,34.02220285,-118.2902712051948
